;NUM_ACC;MOIS_ACC;HEU_ACC;COD_PRV;COD_ETA_CHA;COD_ETA_SUR;COD_LUM;COD_INT;TYP_LIE_ACC;NUM_ROU;PKM;LAR_CHA;COD_TYP_CHA;COD_TYP_COL;COD_OBS_HRT;COD_POI_CHO;COD_MAN;CIR_ACC
4314;9386;3;17;51;1;1;2;1;1;3004;9999;7;2;3;15;5;20;9
4315;9387;3;17;51;1;1;2;1;1;9;4;7;2;3;15;3;2;9
4316;9388;3;8;51;1;1;2;1;1;9;4;7;2;3;15;1;6;21
4317;9389;3;20;51;1;1;1;1;1;1;338;7;1;2;15;4;1;46
4318;9391;3;15;72;1;1;2;1;1;320;12;7;1;3;15;3;4;82
4319;9392;3;16;72;1;1;2;1;1;3012;5;14;1;3;15;3;1;31
4320;9393;3;6;72;1;1;1;1;1;3012;5;14;1;8;18;1;18;9
4321;9395;3;20;72;1;1;1;1;1;3012;6;14;1;2;15;4;1;32
4322;9396;3;14;72;1;1;2;1;1;3012;7;14;1;8;14;1;16;9
4323;9397;3;7;71;1;1;2;1;1;3010;10;7;1;2;15;4;1;9
4324;9400;3;1;72;1;1;1;1;1;320;14;7;1;1;1;1;2;9
4325;9401;3;17;72;1;1;2;1;1;320;11;7;1;3;15;3;2;21
4326;9402;3;19;72;1;1;1;1;1;320;15;7;1;3;15;7;1;31
4328;9406;3;18;72;1;1;1;1;1;320;14;7;1;2;15;5;21;82
4329;9408;3;21;72;1;1;1;1;1;320;14;7;1;2;15;2;1;9
4330;9410;3;22;72;1;1;1;1;1;3014;12;7;1;7;15;2;2;21
4331;9411;3;14;72;1;1;2;1;1;3014;11;8;1;2;15;4;1;9
4332;9412;3;16;72;1;1;2;1;1;1;383;7;1;7;15;9;5;21
4333;9413;3;17;72;1;1;2;1;1;3014;8;8;1;3;15;4;1;38
4334;9414;3;9;72;1;1;2;1;1;1;378;9;1;3;15;1;1;9
4335;9415;3;17;72;1;1;2;1;1;3014;13;7;1;2;15;4;1;3
4336;9418;3;16;72;1;1;2;1;1;1;380;8;1;3;15;5;8;33
4337;9419;3;19;72;1;1;1;1;1;3014;7;8;1;3;15;4;1;21
4338;9420;3;20;51;1;1;1;1;1;1;333;15;1;2;15;1;1;59
4339;9422;3;18;72;1;1;1;1;1;1;378;8;1;3;15;4;1;21
4340;9423;3;13;72;1;1;2;1;1;3032;2;7;1;3;15;8;1;9
4341;9424;3;17;72;1;1;2;1;1;3014;10;7;1;3;15;2;1;32
4342;9426;3;21;72;1;2;1;2;1;3001;3;8;1;7;15;1;1;21
4343;9427;3;18;72;1;1;1;1;1;3014;12;8;1;3;15;3;12;82
4344;9429;3;11;72;1;1;2;1;1;3014;8;7;1;3;15;2;12;9
4345;9431;3;14;51;1;1;2;1;1;1;333;6;1;2;15;6;1;9
4346;9434;3;0;51;1;1;1;1;1;313;9999;6;1;2;15;1;1;21
4347;9435;3;11;51;1;1;2;1;1;3307;9999;7;1;2;15;4;1;3
4349;9437;3;16;51;1;1;2;1;1;1;333;8;1;7;14;9;16;33
4351;9441;3;17;51;1;1;2;1;1;1;343;12;2;2;15;5;1;38
4352;9442;3;16;51;1;1;2;1;1;3019;9999;6;1;2;15;6;14;82
4353;9443;3;15;71;1;1;2;1;1;3019;9999;6;1;3;15;7;6;38
4354;9444;3;14;51;1;1;2;1;1;3019;9999;6;1;3;15;7;6;406
4355;9445;3;21;51;1;1;1;1;1;3301;9999;6;1;8;14;1;16;3
4356;9446;3;0;51;1;1;1;1;1;3006;9999;6;1;3;15;1;6;21
4357;9449;3;20;51;1;1;1;1;1;1;333;11;1;2;15;4;1;9
4358;9450;3;21;51;1;1;1;1;1;3019;9999;6;1;8;16;1;16;21
4359;9451;3;15;51;1;1;2;1;1;3006;9999;6;1;3;15;3;6;32
4360;9452;3;8;51;1;1;2;1;1;3002;9999;6;1;8;14;1;16;82
4361;9454;3;10;51;1;1;2;1;1;1;341;12;2;2;15;4;6;21
4362;9455;3;8;51;1;1;2;1;1;3002;9999;6;1;3;15;6;6;21
4363;9456;3;15;51;1;1;2;1;1;3002;9999;6;1;8;14;1;16;46
4364;9458;3;9;51;1;1;2;1;1;3002;9999;6;1;7;18;1;6;9
4365;9459;3;12;51;1;1;2;1;1;3002;9999;6;1;1;15;3;2;21
4366;9462;3;22;51;1;1;1;1;1;3002;9999;6;1;3;15;8;6;21
4367;9463;3;9;51;1;1;2;1;1;9;9999;8;2;3;15;7;6;31
4368;9464;3;21;72;1;1;1;1;1;3003;9999;6;1;3;15;3;7;9
4369;9466;3;22;51;1;1;1;1;1;3002;9999;6;1;8;14;1;16;31
4370;9467;3;12;51;1;1;2;1;1;1;341;16;2;2;15;6;1;40
4371;9468;3;18;51;1;1;1;1;1;3002;9999;6;1;8;14;1;16;9
4372;9470;3;9;50;1;1;2;1;1;801;76;8;2;4;15;4;1;21
4373;9471;3;11;50;1;1;2;1;1;801;75;8;2;8;18;1;18;32
4374;9475;3;16;72;1;1;2;1;1;3020;9999;7;1;8;14;1;1;9
4379;9500;3;22;72;1;1;1;1;1;3038;8;7;1;2;15;4;1;9
4380;9501;3;16;72;1;1;2;1;1;3038;8;7;1;3;15;8;9;9
4382;9516;3;11;72;1;2;2;1;1;3011;17;19;1;2;15;4;1;21
4383;9517;3;15;72;1;1;2;1;1;3011;15;7;1;3;15;5;1;9
4384;9518;3;14;72;1;1;2;1;1;315;6;9;2;8;14;1;16;99
4385;9519;3;20;72;1;1;1;1;1;3038;3;7;1;3;15;8;9;9
4386;9524;3;16;50;1;1;2;1;1;315;2;11;2;3;4;2;7;31
4387;9525;3;20;50;1;1;1;1;1;803;4;8;2;4;15;4;1;31
4388;9532;3;7;72;1;1;2;1;1;315;6;8;2;2;15;4;1;32
4390;9535;3;15;72;1;1;2;1;1;315;7;9;2;2;15;4;1;36
4391;9536;3;12;72;1;1;2;1;1;315;6;9;2;8;14;1;16;21
4392;9537;3;18;50;1;1;1;1;1;315;4;8;2;2;15;4;1;21
4393;9539;3;16;72;1;1;2;1;1;315;6;9;2;2;15;4;1;38
4394;9550;3;23;50;1;1;1;1;1;3015;9999;8;1;8;18;9;18;32
4395;9552;3;23;71;1;1;1;1;1;9;17;5;1;8;18;1;18;3
4396;9555;3;1;71;1;1;1;1;1;9;19;6;1;8;18;1;18;9
4398;9559;3;18;72;4;4;1;2;1;9999;5;8;2;1;15;3;12;21
4399;9560;3;17;16;1;1;2;1;1;1;161;7;1;8;14;1;16;38
4400;9561;3;17;16;1;1;2;1;1;805;224;7;1;8;14;8;16;38
4402;9564;3;21;16;1;1;1;1;1;4201;9999;6;1;8;14;7;16;9
4403;9565;3;8;16;1;1;2;1;1;4201;9999;6;1;8;14;7;16;32
4404;9566;3;17;16;1;1;2;1;1;4268;9999;6;1;8;14;7;16;3
4405;9572;3;7;16;2;1;2;1;1;4220;9999;6;1;2;15;4;1;21
4406;9574;3;14;16;1;1;2;1;1;406;43;7;1;3;15;3;7;38
4407;9575;3;20;16;1;1;1;1;1;1;159;7;1;8;18;2;11;82
4408;9576;3;19;16;1;1;1;1;1;1;147;7;1;2;15;4;1;33
4409;9577;3;10;16;1;1;2;1;1;1;152;7;1;3;15;3;4;9
4410;9578;3;18;16;1;1;1;1;1;1;167;7;1;8;14;1;16;9
4411;9579;3;14;16;1;1;2;1;1;1;167;7;1;3;15;5;1;9
4412;9580;3;1;16;1;1;1;1;1;805;168;7;2;8;18;3;10;31
4413;9581;3;14;16;1;1;2;1;1;805;136;7;2;8;18;2;11;32
4414;9583;3;23;16;1;1;1;1;1;406;38;7;1;8;18;3;10;31
4415;9585;3;10;16;2;1;2;1;1;4208;9999;6;1;2;15;4;1;21
4416;9586;3;22;16;2;1;1;1;1;4206;9999;7;1;2;15;4;1;9
4417;9587;3;19;16;2;1;1;1;1;4208;9999;6;1;8;14;1;16;21
4418;9588;3;17;16;2;1;2;1;1;4201;9999;7;1;8;14;1;16;9
4419;9591;3;21;16;2;1;1;1;1;4201;9999;7;1;2;15;4;1;46
4420;9593;3;15;16;2;1;2;1;1;4214;9999;4;1;8;14;1;16;31
4421;9594;3;16;16;1;1;2;1;1;9999;9999;6;1;8;13;8;10;9
4422;9596;3;10;16;1;1;2;1;1;4201;9999;6;1;1;15;1;4;31
4423;9597;3;10;16;2;1;2;1;1;4268;9999;6;1;3;15;8;1;32
4424;9598;3;18;16;1;1;1;1;1;4201;9999;6;1;3;15;8;1;3
4425;9600;3;19;16;1;1;1;1;1;1;243;10;1;8;14;7;16;32
4426;9601;3;20;16;1;1;1;1;1;1;245;10;1;8;13;7;11;33
4427;9602;3;19;16;1;1;1;1;1;1;244;10;1;8;14;7;16;341
4428;9603;3;16;16;1;1;2;1;1;4266;9999;6;1;3;15;8;1;9
4429;9604;3;19;16;1;1;1;1;1;4266;7;6;1;8;14;8;16;9
4430;9605;3;12;16;1;1;2;1;1;4266;7;6;1;3;15;8;4;9
4431;9606;3;21;16;1;1;1;1;1;4266;9999;6;1;8;14;7;16;31
4432;9607;3;9;16;1;1;2;1;1;1;243;10;1;8;14;7;16;31
4433;9609;3;16;16;1;1;2;1;1;4266;7;6;1;3;15;8;1;9
4434;9611;3;20;16;1;1;1;1;1;1;203;9;1;3;15;8;1;38
4435;9612;3;10;16;1;1;2;2;1;4234;17;7;1;2;15;4;1;21
4436;9613;3;2;16;1;1;1;1;1;805;232;7;1;3;15;7;4;21
4437;9614;3;13;16;1;1;2;1;1;805;234;7;1;8;13;8;10;21
4438;9615;3;8;16;1;1;2;1;1;805;244;7;1;3;15;8;4;341
4439;9616;3;14;16;1;1;2;1;1;805;225;7;1;8;16;7;16;82
4440;9617;3;16;16;1;1;2;1;1;4315;9999;6;1;8;13;1;18;9
4441;9618;3;19;16;1;1;1;1;1;4234;9999;6;1;8;14;7;16;9
4442;9619;3;9;16;1;1;2;1;1;4234;9999;6;1;3;15;8;1;33
4443;9620;3;15;16;1;1;2;1;1;4201;9999;6;1;1;15;1;4;9
4444;9621;3;15;16;1;1;2;1;1;4;8;7;2;2;15;1;1;9
4446;9623;3;19;16;1;1;1;1;1;1;217;7;1;8;14;1;16;9
4447;9624;3;18;16;1;1;1;1;1;4;7;7;2;3;15;1;12;31
4448;9625;3;8;16;1;1;2;1;1;4;0;7;2;3;15;3;1;32
4449;9626;3;16;16;1;1;2;1;1;4;6;7;2;3;15;1;12;9
4450;9627;3;10;16;1;1;2;1;1;1;206;7;1;1;15;1;4;3
4451;9628;3;6;16;1;1;1;1;1;4;4;7;2;3;15;6;1;9
4452;9629;3;22;16;1;1;1;1;1;805;186;7;1;8;13;9;11;9
4453;9630;3;7;16;1;1;2;1;1;805;193;7;1;8;13;7;10;31
4454;9631;3;10;16;1;1;2;1;1;805;222;7;1;8;13;7;11;9
4455;9632;3;18;16;1;1;1;1;1;805;198;7;1;8;13;8;10;9
4456;9633;3;11;16;1;1;2;1;1;805;205;7;1;8;13;7;11;9
4457;9634;3;16;15;1;1;2;1;1;604;32;4;1;7;18;9;1;32
4458;9636;3;15;15;1;1;2;1;1;6103;12;7;1;8;18;1;1;9
4460;9644;3;21;41;1;1;1;1;1;1;886;6;1;1;15;1;2;32
4461;9645;3;15;41;1;1;2;2;1;8;9;8;1;2;15;4;1;341
4462;9646;3;15;12;1;1;2;1;1;2026;77;5;1;8;13;7;1;9
4463;9647;3;9;12;1;1;2;1;1;2202;9999;4;1;7;18;1;1;59
4465;9649;3;11;12;1;1;2;1;1;1;9999;6;1;8;18;7;1;9
4466;9650;3;19;12;1;1;1;1;1;2202;9999;3;1;8;18;1;1;9
4467;9651;3;17;12;1;1;2;2;1;2216;9999;4;1;7;15;6;4;71
4468;9652;3;16;12;1;1;2;1;1;1;717;7;1;5;15;2;2;9
4469;9653;3;14;12;2;2;2;2;1;2216;46;4;1;3;15;8;4;9
4470;9654;3;7;12;2;1;2;1;1;214;66;4;1;1;15;3;4;9
4475;9659;3;12;62;1;1;2;5;1;1;1492;8;1;1;15;1;15;42
4476;9660;3;23;62;1;1;1;1;1;1;1498;7;1;8;18;2;1;9
4477;9661;3;19;21;1;1;1;1;1;1;1527;8;1;8;18;9;1;33
4478;9662;3;15;21;1;1;2;1;1;1;1530;8;1;7;15;4;1;342
4479;9663;3;22;21;1;1;1;1;1;9999;9999;7;1;8;18;9;1;21
4480;9664;3;22;62;1;1;1;1;1;1;1454;8;2;7;16;2;16;9
4482;9666;3;15;62;1;1;2;1;1;1;1453;8;1;2;15;7;1;9
4484;9671;3;9;21;1;1;2;1;1;1400;15;7;1;8;18;9;1;9
4485;9672;3;21;62;1;1;1;1;1;1;1320;8;1;8;14;2;16;3
4486;9673;3;16;62;1;1;2;1;1;1;1380;7;1;8;18;2;1;3
4487;9674;3;19;31;1;1;1;1;1;1;1238;7;1;7;15;1;2;82
4488;9675;3;13;32;1;1;2;1;1;1;1023;6;1;8;18;8;1;9
4489;9677;3;16;59;1;1;2;1;1;1;1003;6;1;3;15;9;4;31
4490;9678;3;1;59;1;1;1;1;1;1911;9999;5;1;8;13;9;12;31
4491;9679;3;6;31;1;1;1;4;1;1;1253;7;1;7;15;1;2;32
4492;9680;3;13;31;1;1;2;1;1;1;1240;7;1;8;18;9;1;9
4493;9684;3;13;59;1;1;2;1;1;9999;46;7;1;3;15;9;1;9
4494;9685;3;18;59;1;1;1;1;1;9999;9999;5;1;8;13;1;12;342
4495;9686;3;20;59;1;1;1;1;1;1916;61;5;1;8;13;9;1;42
4496;9687;3;12;59;1;1;2;1;1;1916;51;5;1;3;15;1;4;9
4497;9690;3;9;32;1;1;2;1;1;1;1133;6;1;8;18;9;18;9
4498;9691;3;20;31;1;1;1;1;1;1;1246;7;1;7;15;1;2;9
4499;9692;3;1;29;1;1;1;1;1;14;50;7;1;8;18;9;1;9
4500;9693;3;13;20;2;1;2;1;1;3519;9999;6;1;7;14;1;16;9
4501;9694;3;23;20;1;1;1;1;1;9999;121;8;1;8;14;1;1;32
4502;9695;3;19;20;1;1;1;1;1;9999;131;6;1;3;15;1;9;9
4505;9701;3;16;20;1;1;2;1;1;9999;122;7;1;2;15;1;1;9
4506;9702;3;14;20;1;1;2;1;1;9999;178;6;1;8;18;1;1;9
4507;9703;3;19;20;1;1;1;1;1;9999;120;7;1;3;15;1;1;31
4508;9704;3;8;20;1;1;2;1;1;403;134;6;1;3;15;1;4;9
4509;9705;3;12;20;1;1;2;1;1;3525;16;4;1;3;15;6;1;31
4510;9706;3;7;20;1;1;2;1;1;9999;94;7;1;3;15;3;4;31
4511;9708;3;23;20;1;1;1;1;1;9999;140;7;1;3;15;3;4;9
4513;9711;3;10;20;1;1;2;1;1;9999;124;7;1;3;15;3;1;46
4514;9712;3;12;20;2;1;2;1;1;3533;9999;6;1;7;14;1;16;32
4515;9713;3;20;28;1;1;1;1;1;3503;9;7;1;3;15;1;4;82
4516;9714;3;11;20;1;1;2;1;1;9999;96;7;1;7;14;2;16;341
4517;9715;3;15;34;1;1;2;1;1;9999;34;6;2;8;18;9;10;9
4518;9716;3;17;34;1;1;2;1;1;5420;20;6;1;1;15;1;4;9
4519;9717;3;12;34;1;1;2;1;1;5405;18;6;1;7;15;9;4;9
4521;9726;3;23;34;1;1;1;1;1;6;9999;6;1;8;13;6;10;9
4522;9727;3;14;34;1;1;2;1;1;6;277;8;1;8;13;1;10;21
4525;9731;3;16;34;1;1;2;1;1;5413;21;7;1;3;15;8;4;9
4526;9732;3;12;34;1;1;2;1;1;6;278;8;1;3;1;3;1;31
4528;9735;3;18;34;1;1;1;1;1;5413;4;4;1;4;15;1;1;341
4529;9736;3;19;34;1;1;1;1;1;802;260;7;2;8;18;1;11;82
4530;9737;3;19;34;1;1;1;1;1;802;248;7;2;8;18;9;11;21
4531;9738;3;6;3;1;1;1;1;1;2;273;6;1;8;12;7;1;53
4532;9739;3;9;3;1;1;2;1;1;2;340;7;2;5;15;9;18;9
4533;9740;3;8;3;1;1;2;1;1;2;318;8;2;8;14;2;18;21
4535;9742;3;19;3;1;1;1;1;1;16;254;7;1;7;15;3;2;71
4536;9743;3;12;3;1;1;2;1;1;5209;12;7;1;8;18;1;18;21
4538;9746;3;21;3;1;1;1;1;1;8;9999;7;1;8;18;9;1;9
4539;9748;3;6;3;1;1;1;1;1;2;208;7;1;8;18;9;1;31
4540;9749;3;12;3;1;1;2;1;1;2;220;7;1;7;15;1;2;9
4541;9750;3;18;3;1;1;1;1;1;2;220;7;1;1;15;1;2;9
4542;9751;3;19;3;1;1;1;1;1;2;220;7;1;1;15;1;2;9
4543;9752;3;10;3;1;1;2;1;1;509;16;7;1;1;15;9;2;9
4544;9753;3;20;3;1;1;1;1;1;509;22;7;1;8;18;9;1;31
4545;9754;3;11;3;1;1;2;1;1;16;291;16;1;8;14;1;18;32
4546;9755;3;12;9;1;1;2;1;1;16;235;7;1;8;18;9;1;9
4547;9759;3;18;3;1;1;1;1;1;5202;9999;6;1;8;14;1;18;50
4548;9760;3;19;3;1;1;1;1;1;5211;0;15;1;1;15;1;18;9
4550;9762;3;14;55;1;1;2;1;1;16;299;9;1;8;18;7;18;9
4552;9767;3;16;53;1;1;2;1;1;13;403;6;1;8;14;3;16;38
4553;9768;3;21;53;1;1;1;1;1;7109;5;4;1;8;13;1;10;36
4554;9769;3;18;13;1;1;1;1;1;10;650;6;1;3;15;1;7;38
4555;9770;3;18;13;1;1;1;1;1;10;655;7;1;8;14;1;16;38
4556;9771;3;21;13;1;1;1;1;1;7107;3;1;1;2;15;2;1;31
4557;9773;3;15;13;1;1;2;1;1;10;557;17;1;3;15;3;12;38
4561;9777;3;20;13;1;1;1;1;1;10;634;6;1;1;15;1;4;53
4562;9778;3;21;13;1;1;1;1;1;10;655;7;1;8;18;1;1;9
4563;9779;3;18;53;1;2;1;2;1;708;60;6;1;8;18;1;11;9
4564;9780;3;20;53;1;2;1;2;1;13;427;6;1;7;2;8;10;32
4567;9784;3;14;53;1;1;2;1;1;13;356;7;1;1;15;1;4;9
4572;9793;3;17;55;1;1;2;1;1;2;392;6;1;1;15;3;4;50
4573;9794;3;20;24;1;2;1;2;1;19;69;9;1;1;15;1;4;38
4574;9795;3;0;24;1;1;1;1;1;2;430;10;1;8;14;1;16;46
4575;9797;3;11;24;1;1;2;1;1;19;21;8;1;8;14;1;16;3
4576;9798;3;21;24;1;1;1;1;1;6209;8;7;1;8;14;1;16;53
4577;9800;3;13;24;2;2;2;2;1;6209;9999;6;1;1;14;1;16;3
4578;9803;3;10;55;1;1;2;1;1;2;404;6;1;3;15;8;4;32
4579;9804;3;15;55;1;1;2;1;1;511;70;6;1;3;15;7;1;9
4580;9805;3;11;24;1;1;2;1;1;16;406;8;1;3;15;2;14;31
4581;9806;3;19;24;1;1;1;1;1;612;9999;6;1;1;15;1;2;9
4582;9808;3;9;24;1;1;2;1;1;16;354;6;1;1;15;3;4;50
4583;9809;3;17;55;1;1;2;1;1;610;5;6;1;7;18;7;1;32
4584;9811;3;15;24;1;1;2;1;1;16;372;6;1;7;18;7;1;31
4585;9812;3;18;24;1;1;1;1;1;16;436;8;1;3;15;6;1;21
4586;9814;3;20;24;1;1;1;1;1;16;413;8;1;8;14;1;16;31
4587;9816;3;12;24;1;1;2;1;1;19;20;8;1;8;13;2;11;9
4588;9818;3;20;24;1;1;1;1;1;19;19;8;1;2;15;4;1;48
4589;9820;3;12;24;1;1;2;1;1;2;468;7;1;2;15;2;1;36
4590;9821;3;4;24;1;1;1;1;1;6204;9999;5;1;8;18;8;10;42
4591;9822;3;19;24;1;1;1;1;1;2;477;7;1;3;15;6;1;31
4593;9827;3;4;72;1;1;1;1;1;9;39;7;1;8;14;1;16;53
4594;9828;3;12;28;1;1;2;1;1;3618;9999;5;1;1;15;1;4;31
4595;9830;3;15;28;1;1;2;1;1;3615;9999;5;1;8;14;9;18;31
4596;9831;3;15;28;1;1;2;1;1;316;96;7;1;8;11;5;1;31
4597;9832;3;22;28;1;1;1;1;1;11;68;8;1;8;4;9;1;33
4598;9834;3;20;6;1;1;1;1;1;3328;9999;5;1;2;15;4;1;9
4599;9835;3;20;72;1;1;1;1;1;3011;23;6;1;7;14;1;8;9
4600;9836;3;18;54;1;1;1;1;1;3602;9999;7;1;3;15;7;6;46
4601;9837;3;13;28;1;1;2;1;1;3606;32;5;1;8;13;7;11;21
4602;9838;3;11;54;1;1;2;1;1;11;54;8;1;2;15;6;1;341
4603;9839;3;14;54;1;1;2;1;1;9;60;7;1;8;14;1;16;38
4604;9841;3;20;54;1;1;1;1;1;318;88;7;1;8;13;8;10;99
4605;9842;3;12;54;1;1;2;1;1;3612;9999;7;1;2;15;4;1;341
4606;9849;3;18;54;1;1;1;1;1;3612;9999;7;1;2;15;4;1;31
4607;9850;3;20;54;1;1;1;1;1;3602;9999;7;1;8;13;9;11;31
4608;9852;3;22;54;1;1;1;1;1;3604;9999;7;1;8;13;9;11;59
4609;9853;3;21;54;1;1;1;1;1;3625;9999;7;1;8;13;9;11;38
4610;9857;3;8;54;1;1;2;1;1;3625;9999;7;1;3;15;8;6;32
4611;9864;3;23;54;1;1;1;1;1;3336;9999;5;1;3;16;1;16;9
4612;9865;3;17;54;1;1;2;1;1;3336;9999;5;1;3;14;1;1;42
4613;9866;3;17;54;1;1;2;1;1;3602;9999;5;1;2;15;1;2;59
4614;9867;3;10;54;1;1;2;1;1;3602;9999;7;1;7;15;8;4;33
4615;9868;3;21;10;1;1;1;1;1;303;36;7;1;8;13;9;11;9
4616;9869;3;8;54;1;1;2;1;1;3007;9999;7;1;7;15;8;6;9
4617;9870;3;18;54;1;1;1;1;1;318;66;7;1;8;13;9;11;48
4618;9871;3;18;54;1;1;1;1;1;3601;9999;7;1;3;15;7;6;9
4619;9872;3;17;54;1;1;2;1;1;3601;19;7;1;8;14;8;16;32
4620;9873;3;15;54;1;1;2;1;1;318;59;7;1;2;15;4;1;9
4621;9874;3;20;54;1;1;1;1;1;318;63;7;1;8;13;9;10;9
4622;9875;3;11;54;1;1;2;1;1;3618;1;7;1;8;13;9;11;32
4623;9876;3;18;54;1;1;1;1;1;320;26;7;1;1;15;1;4;21
4624;9878;3;17;54;1;1;2;1;1;3607;9999;7;1;8;13;9;10;21
4625;9879;3;11;54;1;1;2;1;1;320;28;7;1;2;15;4;1;21
4626;9880;3;21;54;1;1;1;1;1;320;33;7;2;3;15;7;6;9
4627;9881;3;10;54;1;1;2;1;1;320;29;7;1;8;14;7;16;9
4628;9882;3;17;54;1;1;2;1;1;320;30;7;2;2;15;6;1;31
4630;9886;3;9;54;1;1;2;1;1;1;390;6;1;1;15;3;4;31
4631;9888;3;21;72;1;1;1;1;1;3011;22;7;1;3;15;6;1;21
4632;9890;3;13;54;1;1;2;1;1;1;400;6;1;8;14;1;16;88
4633;9892;3;14;54;1;1;2;1;1;1;392;7;1;8;14;1;18;341
4634;9894;3;15;54;1;1;2;1;1;1;391;8;1;2;15;4;1;9
4635;9895;3;22;72;1;1;1;1;1;1;380;9;1;2;15;1;1;9
4636;9896;3;14;54;1;1;2;1;1;320;23;7;2;3;15;3;1;21
4637;9899;3;16;54;1;1;2;1;1;1;390;7;1;3;15;6;1;38
4638;9901;3;22;54;1;1;1;1;1;1;396;8;1;3;15;7;2;9
4639;9902;3;14;54;1;1;2;1;1;1;391;7;1;3;15;6;1;9
4640;9903;3;15;54;1;1;2;1;1;3603;9999;7;1;3;15;6;1;9
4641;9906;3;18;54;1;1;1;1;1;1;386;7;1;1;15;1;4;36
4642;9907;3;12;54;1;1;2;1;1;3014;9999;6;1;8;18;1;1;36
4643;9908;3;13;54;1;1;2;1;1;320;24;7;2;3;15;6;1;38
4644;9909;3;14;54;1;1;2;1;1;3014;9999;7;1;8;18;1;6;38
4645;9910;3;20;72;1;1;1;1;1;9;32;7;1;8;14;1;16;38
4646;9911;3;13;72;1;1;2;1;1;9;33;7;1;2;15;6;1;21
4647;9912;3;21;72;1;1;1;1;1;9;35;7;1;8;14;1;16;32
4648;9913;3;17;54;1;1;2;1;1;9;42;7;1;3;15;8;4;53
4649;9914;3;13;72;1;1;2;1;1;9;37;7;1;2;15;6;21;46
4650;9915;3;15;72;1;1;2;1;1;9;40;7;1;2;15;6;1;9
4651;9916;3;14;72;1;1;2;1;1;9;36;7;1;3;15;7;4;82
4652;9917;3;17;72;1;1;2;1;1;9;34;7;1;2;15;4;1;32
4653;9918;3;19;72;1;1;1;1;1;9;40;7;1;7;15;4;1;32
4654;9919;3;6;54;1;1;1;1;1;803;26;8;1;2;15;4;1;439
4655;9920;3;1;54;1;1;1;1;1;803;39;8;1;8;13;9;5;36
4656;9921;3;9;54;1;1;2;1;1;801;113;8;1;3;15;3;1;439
4657;9922;3;1;6;1;1;1;1;1;801;31;11;1;8;18;9;11;436
4658;9923;3;3;6;1;1;1;1;1;801;29;11;1;3;15;6;1;9
4659;9924;3;13;6;1;1;2;1;1;801;36;11;1;3;15;6;1;9
4660;9927;3;19;6;1;1;1;1;1;322;32;7;1;3;15;8;12;31
4661;9928;3;13;6;1;1;2;1;1;322;42;7;1;8;13;9;11;31
4662;9929;3;17;51;1;1;2;1;1;322;26;7;1;7;15;8;12;439
4663;9930;3;19;6;1;1;1;1;1;322;28;7;1;8;14;8;16;9
4664;9931;3;19;6;1;1;1;1;1;322;28;7;1;8;14;8;16;9
4665;9932;3;14;51;1;1;2;1;1;322;27;7;1;2;15;4;1;53
4666;9933;3;11;6;1;1;2;1;1;1;318;7;1;2;15;4;1;450
4667;9934;3;10;6;1;1;2;1;1;1;315;7;1;2;15;4;1;9
4668;9935;3;12;6;1;1;2;1;1;3323;1;7;1;8;14;7;16;50
4669;9936;3;16;6;1;1;2;1;1;1;330;7;1;7;15;6;4;9
4670;9937;3;23;6;1;1;1;1;1;1;310;7;1;8;13;9;10;9
4671;9938;3;22;6;1;1;1;1;1;3323;1;7;1;3;15;7;13;32
4672;9939;3;21;6;1;1;1;1;1;313;8;8;1;8;14;8;18;9
4673;9940;3;7;6;1;1;2;1;1;305;8;7;1;2;15;4;1;9
4674;9941;3;16;6;1;1;2;1;1;3312;9999;5;1;3;15;7;6;9
4675;9942;3;14;6;1;1;2;1;1;3321;0;5;1;8;13;1;10;50
4676;9943;3;19;6;1;1;1;1;1;3325;9999;4;1;8;13;1;11;59
4677;9944;3;9;6;1;1;2;1;1;3337;8;5;1;8;13;1;10;400
4678;9945;3;20;6;1;1;1;1;1;3308;9999;5;1;8;13;9;10;9
4679;9947;3;13;6;1;1;2;1;1;3321;28;6;1;8;13;1;11;9
4680;9949;3;10;54;1;1;2;1;1;3338;9999;6;1;8;14;1;16;9
4681;9951;3;11;6;1;1;2;1;1;3326;5;6;1;1;1;1;11;9
4682;9953;3;21;6;1;1;1;1;1;3305;8;6;1;8;13;9;10;9
4683;9954;3;8;6;1;2;2;1;1;3326;1;6;1;8;13;9;11;9
4684;9955;3;5;6;1;1;1;1;1;305;11;7;2;3;15;6;7;32
4685;9956;3;16;6;1;1;2;1;1;3331;3;6;1;7;13;9;11;31
4686;9957;3;14;6;1;1;2;1;1;3331;18;6;1;7;13;9;11;9
4687;9958;3;15;28;1;1;2;1;1;9;65;8;1;7;15;8;8;46
4693;9972;3;19;28;1;1;1;1;1;3612;9999;5;1;2;4;4;1;32
4694;9973;3;17;28;1;1;2;1;1;11;64;8;1;4;15;9;1;31
4695;9974;3;17;28;1;1;2;1;1;3612;37;5;1;2;15;4;1;46
4696;9975;3;20;28;1;1;1;1;1;3612;41;7;1;3;15;7;1;9
4697;9976;3;21;28;1;1;1;1;1;11;78;8;1;8;14;1;16;409
4698;9977;3;18;28;1;1;1;1;1;3626;9999;5;1;8;14;7;16;9
4699;9978;3;19;28;1;1;1;1;1;11;59;8;1;3;15;7;18;9
