;NUM_ACC;MOIS_ACC;HEU_ACC;COD_PRV;COD_ETA_CHA;COD_ETA_SUR;COD_LUM;COD_INT;TYP_LIE_ACC;NUM_ROU;PKM;LAR_CHA;COD_TYP_CHA;COD_TYP_COL;COD_OBS_HRT;COD_POI_CHO;COD_MAN;CIR_ACC
110;170;1;5;25;2;1;1;1;1;1502;9999;6;1;8;13;7;1;38
111;171;1;21;25;2;1;1;1;1;1507;2;7;1;2;15;1;1;9
112;172;1;16;25;1;1;2;1;1;9;414;8;1;8;14;1;1;9
113;173;1;21;25;2;1;1;1;1;1516;9999;7;1;2;15;1;1;21
114;174;1;15;25;1;1;2;1;1;9999;17;7;1;8;13;9;1;31
115;175;1;15;46;2;1;2;1;1;1519;50;5;1;1;15;1;4;9
118;178;1;16;63;1;1;2;1;1;10;521;6;1;3;15;8;1;82
119;179;1;22;46;1;1;1;1;1;9;505;6;1;3;15;7;1;21
120;180;1;11;46;1;1;2;1;1;9;549;6;1;8;13;9;10;9
121;181;1;9;46;1;1;2;1;1;12;9999;6;1;3;15;6;1;82
123;184;1;17;46;1;1;2;1;1;9;486;6;1;8;13;7;11;9
125;186;1;23;46;1;1;1;1;1;108;46;5;1;8;13;7;11;9
128;189;1;18;63;1;1;1;1;1;704;34;5;1;8;13;8;10;32
129;190;1;10;46;1;1;2;1;1;1523;5;4;1;8;18;9;1;21
130;191;1;14;46;1;1;2;1;1;9;664;7;1;2;15;1;1;9
131;193;1;11;46;1;1;2;1;1;108;123;5;1;3;15;8;1;21
136;200;1;20;25;1;1;1;1;1;10;364;8;1;7;15;9;1;31
137;201;1;10;25;1;1;2;1;1;9;424;8;1;7;15;2;1;71
138;202;1;19;25;2;1;1;1;1;1516;9999;7;1;8;13;7;1;9
139;203;1;9;25;2;1;2;1;1;1516;9999;7;1;7;15;1;1;31
140;204;1;22;25;1;1;1;1;1;9;441;8;1;7;15;1;1;31
141;205;1;17;25;1;1;2;1;1;9;441;8;1;8;13;8;1;31
142;207;1;9;25;2;1;2;1;1;1516;10;6;1;8;14;1;1;48
143;208;1;8;25;1;1;2;1;1;9;441;8;1;7;15;1;1;31
144;210;1;8;25;2;1;2;1;1;1502;9999;6;1;1;15;1;1;82
145;211;1;17;16;1;1;2;1;1;805;228;7;1;2;15;6;1;9
146;213;1;2;16;1;1;1;1;1;411;9999;7;1;8;13;9;10;21
147;214;1;17;16;1;1;2;1;1;4201;9999;6;1;3;15;2;4;32
148;215;1;21;16;1;1;1;1;1;1;127;7;1;3;15;5;1;82
149;216;1;20;16;1;1;1;1;1;805;155;7;2;8;14;1;16;32
150;217;1;14;16;1;1;2;1;1;406;15;7;1;8;14;1;16;9
151;218;1;1;16;1;1;1;1;1;406;33;7;1;2;15;4;1;3
152;219;1;21;16;2;1;1;1;1;4220;9999;6;1;1;15;3;12;9
153;220;1;13;16;1;1;2;1;1;4266;8;6;1;8;14;7;16;9
154;222;1;17;16;1;1;2;1;1;411;9999;7;1;3;15;8;4;9
156;224;1;2;16;1;1;1;1;1;405;11;7;1;3;15;1;4;9
157;225;1;14;16;1;1;2;1;1;4;4;7;2;2;15;1;1;82
160;228;1;15;16;1;1;2;1;1;1;217;7;1;2;15;1;1;21
161;229;1;21;16;1;1;1;1;1;411;9999;7;1;2;15;4;1;21
162;230;1;13;16;1;1;2;1;1;411;9999;7;1;8;14;8;16;9
163;231;1;16;16;1;1;2;1;1;4268;9999;5;1;2;15;4;1;9
164;232;1;22;16;1;1;1;1;1;4201;9999;6;1;8;14;7;16;9
165;233;1;14;16;1;1;2;1;1;805;181;7;1;8;13;9;11;9
166;234;1;16;16;1;1;2;1;1;4201;9999;6;1;2;15;4;1;21
167;236;1;20;16;1;1;1;1;1;4201;9999;6;1;2;15;4;1;21
168;237;1;17;16;1;1;2;1;1;4234;9999;6;1;2;15;4;1;59
169;238;1;19;16;1;1;1;1;1;4201;9999;6;1;8;13;7;11;9
170;239;1;18;16;1;1;1;1;1;4205;9999;6;1;2;15;4;1;82
171;240;1;18;16;1;1;1;1;1;4201;9999;6;1;2;15;4;1;9
173;242;1;8;16;1;1;2;1;1;1;188;9;1;3;15;7;1;21
174;243;1;18;16;1;1;1;1;1;1;175;9;1;2;15;4;1;9
175;244;1;18;16;1;1;1;1;1;4234;15;6;1;2;14;4;1;21
176;245;1;12;16;1;1;2;1;1;805;246;7;1;8;13;9;10;9
177;246;1;13;16;1;1;2;1;1;805;232;7;1;8;14;8;16;21
178;247;1;10;16;1;1;2;1;1;805;235;7;1;8;13;7;11;21
179;248;1;14;16;1;1;2;1;1;4266;9999;6;1;3;15;8;4;32
180;249;1;12;16;1;1;2;1;1;4228;21;4;1;7;14;7;16;9
181;250;1;12;16;1;1;2;1;1;4266;6;6;1;8;14;8;16;9
182;251;1;12;16;1;1;2;1;1;1;239;10;1;3;15;4;1;341
183;252;1;14;16;1;1;2;1;1;1;242;10;1;1;15;1;4;9
184;253;1;17;16;1;1;2;1;1;1;245;10;1;3;15;8;16;31
185;254;1;9;16;1;1;2;1;1;1;242;10;1;2;15;4;1;9
186;255;1;12;16;1;1;2;1;1;1;243;10;1;3;15;8;4;21
187;256;1;11;16;1;1;2;1;1;1;243;10;1;3;15;7;1;32
188;258;1;3;16;1;1;1;1;1;1;125;7;1;8;14;1;16;82
189;259;1;10;16;1;1;2;1;1;1;130;7;1;8;18;3;10;33
190;260;1;19;16;2;1;1;1;1;4233;9999;6;1;2;15;4;1;9
191;261;1;12;16;2;1;2;1;1;4208;9999;6;1;8;14;1;16;31
192;262;1;13;16;1;1;2;1;1;805;162;7;2;8;18;3;5;31
193;263;1;23;16;1;1;1;1;1;805;155;7;2;8;18;3;5;9
194;264;1;17;16;2;1;2;1;1;4211;9999;7;1;8;14;1;16;9
195;265;1;20;16;2;1;1;1;1;4220;9999;6;1;2;15;4;1;341
