NUM_ACC,MOIS_ACC,HEU_ACC,COD_PRV,COD_ETA_CHA,COD_ETA_SUR,COD_LUM,COD_INT,TYP_LIE_ACC,NUM_ROU,PKM,LAR_CHA,COD_TYP_CHA,COD_TYP_COL,COD_OBS_HRT,COD_POI_CHO,COD_MAN,CIR_ACC
74,1.0,14,35,1,1,2,1,1,8.0,811.0,7.0,1.0,7.0,15,8.0,4.0,82
77,1.0,16,35,1,1,2,1,1,509.0,1.1,5.0,1.0,7.0,15,8.0,4.0,9
79,1.0,12,66,1,1,2,1,1,5003.0,7.9,5.0,1.0,8.0,13,9.0,11.0,9
80,1.0,15,66,1,1,2,1,1,716.0,48.1,6.0,1.0,7.0,15,8.0,4.0,82
82,1.0,13,66,1,1,2,1,1,5013.0,9999.99,5.0,1.0,8.0,14,1.0,16.0,9
85,1.0,8,66,1,1,2,1,1,5015.0,9999.99,5.0,1.0,2.0,18,9.0,1.0,9
87,1.0,14,66,1,1,2,1,1,6.0,187.6,7.0,1.0,2.0,15,1.0,1.0,9
88,1.0,19,66,1,1,1,1,1,6.0,187.6,7.0,1.0,7.0,15,8.0,4.0,36
89,1.0,6,66,1,1,1,1,1,6.0,186.5,6.0,1.0,7.0,15,8.0,4.0,46
90,1.0,17,66,1,1,2,1,1,6.0,180.6,7.0,1.0,1.0,15,1.0,4.0,36
91,1.0,15,66,1,1,2,1,1,6.0,188.9,6.0,1.0,3.0,15,8.0,1.0,9
92,1.0,17,35,1,1,2,1,1,6.0,249.97,7.0,1.0,3.0,15,9.0,1.0,9
93,1.0,17,42,1,1,2,1,1,5334.0,17.8,5.0,1.0,8.0,13,9.0,11.0,21
94,1.0,20,14,1,1,1,1,1,802.0,173.2,7.0,2.0,8.0,13,9.0,11.0,53
96,1.0,20,66,1,1,1,1,1,5003.0,15.0,6.0,1.0,7.0,15,8.0,4.0,9
97,1.0,14,66,1,1,2,1,1,5005.0,2.0,6.0,1.0,1.0,15,1.0,4.0,9
101,1.0,7,66,1,1,2,1,1,8.0,742.54,8.0,1.0,3.0,15,8.0,1.0,21
108,1.0,8,66,1,1,2,1,1,4.0,157.3,6.0,1.0,8.0,13,9.0,11.0,21
113,1.0,17,14,1,1,2,1,1,6.0,211.9,10.0,1.0,7.0,14,7.0,16.0,33
115,1.0,19,14,1,1,1,1,1,8.0,723.2,11.0,1.0,3.0,15,1.0,1.0,38
119,1.0,15,14,1,1,2,1,1,8.0,722.2,12.0,1.0,3.0,15,3.0,1.0,9
127,1.0,21,7,1,1,1,1,1,503.0,119.1,6.0,1.0,7.0,15,8.0,4.0,42
128,1.0,22,7,1,1,1,1,1,5108.0,6.5,5.0,1.0,8.0,13,9.0,11.0,21
129,1.0,17,7,1,1,2,1,1,15.0,223.2,6.0,1.0,3.0,15,8.0,1.0,21
131,1.0,19,20,1,1,1,1,1,403.0,109.1,7.0,1.0,1.0,15,1.0,4.0,9
133,1.0,13,20,1,1,2,1,1,9999.0,131.8,8.0,1.0,5.0,15,1.0,4.0,9
136,1.0,14,20,2,1,2,1,1,3502.0,9999.99,6.0,1.0,1.0,15,1.0,4.0,38
137,1.0,12,20,1,1,2,1,1,3502.0,9999.99,7.0,1.0,2.0,15,3.0,1.0,31
139,1.0,10,20,1,1,2,1,1,3508.0,9999.99,6.0,1.0,2.0,15,1.0,1.0,38
140,1.0,13,20,1,1,2,1,1,311.0,37.9,6.0,1.0,8.0,18,4.0,1.0,9
141,1.0,19,20,1,1,1,1,1,3533.0,9999.99,4.0,1.0,8.0,18,1.0,1.0,9
142,1.0,14,20,1,1,2,1,1,403.0,126.1,7.0,1.0,3.0,15,4.0,1.0,42
143,1.0,12,20,1,1,2,1,1,9999.0,93.4,8.0,1.0,3.0,15,4.0,1.0,341
144,1.0,0,20,1,1,1,1,1,9999.0,94.0,8.0,1.0,1.0,15,1.0,4.0,9
146,1.0,12,20,1,1,2,1,1,312.0,25.8,6.0,1.0,3.0,15,3.0,4.0,9
151,1.0,16,20,1,1,2,1,1,403.0,132.2,6.0,1.0,3.0,15,3.0,6.0,32
156,1.0,15,20,1,1,2,1,1,9999.0,152.8,7.0,1.0,8.0,18,7.0,1.0,32
157,1.0,19,20,1,1,1,1,1,3508.0,9999.99,3.0,1.0,8.0,18,8.0,1.0,9
159,1.0,15,20,1,1,2,1,1,3511.0,9999.99,4.0,1.0,8.0,18,4.0,1.0,32
160,1.0,20,20,1,1,1,1,1,311.0,12.6,6.0,1.0,8.0,18,1.0,1.0,3
170,1.0,5,25,2,1,1,1,1,1502.0,9999.99,6.0,1.0,8.0,13,7.0,1.0,38
171,1.0,21,25,2,1,1,1,1,1507.0,2.3,7.0,1.0,2.0,15,1.0,1.0,9
172,1.0,16,25,1,1,2,1,1,9.0,414.0,8.0,1.0,8.0,14,1.0,1.0,9
173,1.0,21,25,2,1,1,1,1,1516.0,9999.99,7.0,1.0,2.0,15,1.0,1.0,21
174,1.0,15,25,1,1,2,1,1,9999.0,17.13,7.0,1.0,8.0,13,9.0,1.0,31
175,1.0,15,46,2,1,2,1,1,1519.0,50.3,5.0,1.0,1.0,15,1.0,4.0,9
178,1.0,16,63,1,1,2,1,1,10.0,521.6,6.0,1.0,3.0,15,8.0,1.0,82
179,1.0,22,46,1,1,1,1,1,9.0,505.2,6.0,1.0,3.0,15,7.0,1.0,21
180,1.0,11,46,1,1,2,1,1,9.0,549.5,6.0,1.0,8.0,13,9.0,10.0,9
181,1.0,9,46,1,1,2,1,1,12.0,9999.99,6.0,1.0,3.0,15,6.0,1.0,82
184,1.0,17,46,1,1,2,1,1,9.0,486.8,6.0,1.0,8.0,13,7.0,11.0,9
186,1.0,23,46,1,1,1,1,1,108.0,46.0,5.0,1.0,8.0,13,7.0,11.0,9
189,1.0,18,63,1,1,1,1,1,704.0,34.0,5.0,1.0,8.0,13,8.0,10.0,32
190,1.0,10,46,1,1,2,1,1,1523.0,5.1,4.0,1.0,8.0,18,9.0,1.0,21
191,1.0,14,46,1,1,2,1,1,9.0,664.3,7.0,1.0,2.0,15,1.0,1.0,9
193,1.0,11,46,1,1,2,1,1,108.0,123.5,5.0,1.0,3.0,15,8.0,1.0,21
200,1.0,20,25,1,1,1,1,1,10.0,364.2,8.0,1.0,7.0,15,9.0,1.0,31
201,1.0,10,25,1,1,2,1,1,9.0,424.25,8.0,1.0,7.0,15,2.0,1.0,71
202,1.0,19,25,2,1,1,1,1,1516.0,9999.99,7.0,1.0,8.0,13,7.0,1.0,9
203,1.0,9,25,2,1,2,1,1,1516.0,9999.99,7.0,1.0,7.0,15,1.0,1.0,31
204,1.0,22,25,1,1,1,1,1,9.0,441.1,8.0,1.0,7.0,15,1.0,1.0,31
205,1.0,17,25,1,1,2,1,1,9.0,441.4,8.0,1.0,8.0,13,8.0,1.0,31
207,1.0,9,25,2,1,2,1,1,1516.0,10.2,6.0,1.0,8.0,14,1.0,1.0,48
208,1.0,8,25,1,1,2,1,1,9.0,441.0,8.0,1.0,7.0,15,1.0,1.0,31
210,1.0,8,25,2,1,2,1,1,1502.0,9999.99,6.0,1.0,1.0,15,1.0,1.0,82
211,1.0,17,16,1,1,2,1,1,805.0,228.7,7.0,1.0,2.0,15,6.0,1.0,9
213,1.0,2,16,1,1,1,1,1,411.0,9999.99,7.0,1.0,8.0,13,9.0,10.0,21
214,1.0,17,16,1,1,2,1,1,4201.0,9999.99,6.0,1.0,3.0,15,2.0,4.0,32
215,1.0,21,16,1,1,1,1,1,1.0,127.3,7.0,1.0,3.0,15,5.0,1.0,82
216,1.0,20,16,1,1,1,1,1,805.0,155.9,7.0,2.0,8.0,14,1.0,16.0,32
217,1.0,14,16,1,1,2,1,1,406.0,15.0,7.0,1.0,8.0,14,1.0,16.0,9
218,1.0,1,16,1,1,1,1,1,406.0,33.0,7.0,1.0,2.0,15,4.0,1.0,3
219,1.0,21,16,2,1,1,1,1,4220.0,9999.99,6.0,1.0,1.0,15,3.0,12.0,9
220,1.0,13,16,1,1,2,1,1,4266.0,8.0,6.0,1.0,8.0,14,7.0,16.0,9
222,1.0,17,16,1,1,2,1,1,411.0,9999.99,7.0,1.0,3.0,15,8.0,4.0,9
224,1.0,2,16,1,1,1,1,1,405.0,11.2,7.0,1.0,3.0,15,1.0,4.0,9
225,1.0,14,16,1,1,2,1,1,4.0,4.9,7.0,2.0,2.0,15,1.0,1.0,82
228,1.0,15,16,1,1,2,1,1,1.0,217.0,7.0,1.0,2.0,15,1.0,1.0,21
229,1.0,21,16,1,1,1,1,1,411.0,9999.99,7.0,1.0,2.0,15,4.0,1.0,21
230,1.0,13,16,1,1,2,1,1,411.0,9999.99,7.0,1.0,8.0,14,8.0,16.0,9
231,1.0,16,16,1,1,2,1,1,4268.0,9999.99,5.0,1.0,2.0,15,4.0,1.0,9
232,1.0,22,16,1,1,1,1,1,4201.0,9999.99,6.0,1.0,8.0,14,7.0,16.0,9
