Victimes,COD_ETA_CHA,COD_TYP_CHA,COD_TYP_COL,COD_MAN,AGE_CON,TMJA_en_veh_j,POS_ACO_DRO,POS_ACO_GAU,SIG_HOR,SIG_VER,COD_USA_VEH,COD_FAU_NON_CON,age_veh,route_class,Type_veh,Predicted_CLASSE_ISR
417,1,1,2,1,65,13321,1,1,2,2,0,9,7,3,3,1
12,1,1,8,18,41,10426,1,1,1,1,0,9,29,1,3,2
35,1,2,3,1,52,10407,2,2,1,1,0,9,18,1,3,1
55,1,1,2,1,45,1491,1,1,1,1,0,9,15,3,3,1
17,1,1,1,4,31,2309,1,1,1,1,0,9,6,1,1,3
18,1,2,2,1,24,13434,1,1,1,2,4,9,5,1,3,1
159,1,1,3,4,57,16519,1,1,1,1,0,9,6,1,3,1
4,1,1,8,4,41,2800,1,1,1,2,0,9,26,1,3,4
1,1,1,1,4,56,5042,1,1,1,1,0,9,5,3,3,4
1,1,1,3,8,36,5334,1,1,1,2,1,9,6,3,3,4
3,1,1,3,4,44,973,1,1,1,1,0,9,2,2,1,3
31,1,2,8,1,24,18976,1,1,1,1,0,9,7,1,3,2
224,1,1,2,1,52,22445,1,1,1,1,4,9,3,1,3,1
14,1,2,7,7,59,5222,1,1,1,1,1,9,11,3,2,3
0,1,1,8,1,76,134,1,1,1,2,0,9,5,1,3,4
301,1,1,2,1,45,2598,1,1,1,1,0,9,35,1,3,1
26,1,1,3,7,33,2368,1,1,1,2,0,9,13,1,1,3
48,1,2,7,10,61,1546,1,1,2,1,0,9,20,2,4,1
149,1,2,5,1,37,60870,1,1,1,1,0,9,29,1,3,1
15,1,1,1,4,25,3433,1,1,1,1,9,9,6,1,3,3
28,1,1,4,1,43,11189,1,1,1,1,2,9,14,1,4,3
189,1,1,2,1,38,2231,1,1,1,1,0,9,0,1,3,1
14,1,1,7,4,40,1913,1,1,2,2,0,9,0,3,1,1
301,1,1,8,1,39,19345,1,1,1,1,0,9,0,1,3,1
444,1,1,2,1,23,13321,1,1,2,2,0,9,11,3,1,1
6,1,1,7,4,26,6983,1,1,1,1,0,9,1,1,1,4
0,1,1,8,1,43,4877,1,1,1,1,0,9,21,1,3,4
18,1,1,2,11,25,696,1,1,1,1,0,9,14,2,3,4
10,1,1,2,1,18,1863,1,1,1,2,0,9,13,2,1,4
14,1,1,2,1,42,6179,1,1,1,1,0,9,36,1,3,2
145,1,1,3,1,20,17543,1,1,1,1,0,9,2,3,1,1
189,1,1,7,18,34,19360,1,1,1,1,0,9,30,1,3,1
8,1,1,1,4,21,5782,1,1,1,1,2,9,38,1,6,4
70,1,1,2,18,55,3377,1,1,1,1,0,9,38,3,3,1
376,1,2,3,12,30,12248,1,1,2,2,0,9,2,1,1,1
170,1,2,8,16,22,5427,1,1,1,2,4,9,1,2,1,1
47,1,1,3,4,29,2722,1,1,1,1,4,9,9,2,3,1
5,1,1,1,14,42,937,1,1,1,2,4,9,12,3,1,4
13,1,1,8,1,44,540,1,1,1,1,0,9,23,1,3,4
2,1,1,8,12,37,587,1,1,1,2,4,9,10,3,1,4
69,1,1,4,1,36,27723,1,1,1,1,0,9,19,1,3,2
12,3,1,8,1,29,3327,1,1,2,1,9,9,15,3,3,4
22,1,1,8,11,43,3698,1,1,1,1,4,9,25,2,3,1
29,1,1,7,1,76,7358,1,1,1,1,0,9,5,1,3,1
12,1,1,8,10,65,2681,1,1,1,1,0,9,5,1,3,4
106,1,1,2,1,18,6401,1,1,2,1,0,9,0,2,1,1
12,1,1,1,4,61,1501,1,1,1,1,0,9,8,1,1,4
145,1,1,8,1,28,10456,1,1,1,1,0,9,0,3,3,1
97,1,1,2,18,19,8438,1,1,1,1,0,9,2,3,1,1
33,1,1,3,16,25,4681,1,1,1,1,9,9,4,1,1,3
303,1,1,1,4,23,12383,1,1,1,2,0,9,1,1,1,1
9,1,1,2,1,37,2259,2,1,2,1,0,9,9,2,1,4
1,2,1,7,1,55,240,1,1,1,1,2,9,16,2,4,4
11,1,1,3,12,26,312,1,1,1,1,4,9,1,1,3,4
0,1,1,8,1,24,1201,1,1,1,1,4,9,19,1,3,4
12,1,1,7,6,32,3693,1,1,1,1,0,9,11,2,3,1
77,1,1,2,1,33,16519,1,1,1,1,0,9,33,1,3,1
102,1,1,1,4,52,4236,1,1,1,1,0,9,32,3,1,1
33,1,1,2,1,43,5656,1,1,1,1,0,9,13,2,3,3
5,1,1,7,2,60,3677,1,1,2,2,1,9,6,2,3,4
14,1,1,1,4,41,8846,1,1,1,1,0,9,16,1,3,2
82,1,1,2,1,55,5802,1,1,1,1,0,9,20,1,3,1
11,1,1,2,1,33,2729,1,1,1,1,0,9,25,1,3,4
130,1,1,3,18,47,8438,1,1,1,1,0,9,1,3,3,1
63,1,1,8,11,34,3037,1,1,1,1,0,9,0,2,1,1
459,1,1,3,18,32,2231,1,1,1,1,0,9,6,1,1,1
32,1,1,5,1,56,11189,1,1,1,1,0,9,28,1,3,3
43,1,1,3,4,50,2787,1,1,1,1,0,9,6,3,3,1
12,1,1,3,1,61,3373,1,1,1,1,0,9,7,1,3,4
128,1,1,1,4,25,2960,1,1,1,1,0,9,0,1,1,1
109,1,2,3,8,60,6509,1,1,1,1,0,9,1,1,3,1
63,1,1,3,9,31,23089,1,1,1,1,0,9,11,1,3,1
17,1,1,8,12,37,4735,1,1,1,1,2,9,6,1,4,3
120,1,1,2,1,24,8438,1,1,1,1,2,9,22,3,3,1
124,1,2,4,1,16,26640,1,2,1,1,4,9,0,1,1,1
4,1,1,8,11,51,2107,1,1,1,1,1,9,4,1,3,3
48,1,1,1,4,26,2787,1,1,1,1,4,9,3,3,1,1
149,1,2,1,4,31,60870,1,1,1,1,0,9,1,1,3,1
120,1,1,2,1,20,9019,1,1,2,2,0,9,1,3,1,1
6,1,1,2,21,35,1498,1,1,1,1,0,9,9,2,3,4
0,1,1,1,4,39,1665,1,1,1,1,0,9,26,2,3,4
4,1,1,8,10,22,1863,1,1,1,1,4,9,3,2,3,4
9,1,1,2,1,55,11189,1,1,1,1,2,9,13,1,4,2
459,1,1,2,1,48,20149,1,1,1,1,0,9,11,1,1,1
125,1,1,8,18,26,11361,1,1,2,2,0,9,1,1,1,1
89,1,1,8,1,77,3666,1,1,1,1,0,9,22,1,0,1
61,1,2,4,18,32,11378,1,1,2,2,0,9,26,1,3,1
224,1,1,2,1,44,12495,1,1,1,1,0,9,0,1,1,1
158,1,1,7,1,63,3602,1,1,1,1,0,9,9,3,3,1
395,1,2,3,1,23,5427,1,1,1,2,0,9,0,2,1,1
139,1,1,3,1,33,4386,1,1,1,1,0,9,33,1,3,1
9,1,1,2,1,60,4773,1,1,2,1,9,9,9,2,0,4
5,1,1,7,4,62,4235,1,1,1,1,1,9,0,3,3,4
108,1,1,8,11,52,6877,1,1,1,1,0,9,3,1,3,1
218,1,1,3,1,55,11512,1,1,1,2,0,9,7,1,1,1
5,1,1,3,1,22,2631,1,1,1,2,0,9,0,1,1,3
114,1,2,2,1,51,15519,1,1,1,1,4,9,0,1,3,1
20,1,1,8,1,45,2417,1,1,1,2,0,3,35,1,3,4
40,1,1,7,4,20,2449,1,1,2,2,0,9,10,1,1,1
79,1,1,8,1,36,23089,1,1,1,1,0,9,20,1,3,2
218,1,1,4,1,22,11512,1,1,1,2,4,9,1,1,3,1
25,1,2,2,1,12,2742,1,1,1,1,0,9,2,2,0,1
44,1,1,3,4,21,696,1,1,1,1,9,9,8,2,1,1
262,1,1,2,1,37,16325,1,1,1,1,0,9,11,1,0,1
6,1,1,3,1,43,15694,1,1,1,1,0,9,3,1,1,3
79,1,1,3,6,65,4597,1,1,1,1,0,9,3,2,1,1
76,1,1,8,11,27,7761,1,1,2,1,4,9,5,1,3,1
299,1,1,3,2,52,6401,1,1,1,1,4,9,2,2,3,1
390,1,1,8,16,35,22445,1,1,1,1,4,9,0,1,1,1
299,1,1,7,20,29,6401,1,1,1,1,4,9,30,2,3,1
218,1,1,3,14,30,11512,1,1,1,2,4,9,4,1,4,1
116,1,1,2,1,44,23089,1,1,1,1,0,9,14,1,3,2
